,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,alpha,tradeOff
0,False,True,-1,-1,1,0.686,0.5381336618295753
0,False,True,-1,-1,1,0.688,0.5397025646337431
0,False,True,-1,-1,1,0.69,0.5412714674379109
0,False,True,-1,-1,1,0.692,0.5428403702420788
0,False,True,-1,-1,1,0.694,0.5444092730462466
0,False,True,-1,-1,1,0.696,0.5459781758504145
0,False,True,-1,-1,1,0.698,0.5475470786545824
0,False,True,-1,-1,1,0.7,0.5491159814587502
0,False,True,-1,-1,1,0.702,0.5506848842629181
0,False,True,-1,-1,1,0.704,0.5522537870670859
0,False,True,-1,-1,1,0.706,0.5538226898712538
0,False,True,-1,-1,1,0.708,0.5553915926754217
0,False,True,-1,-1,1,0.71,0.5569604954795895
0,False,True,-1,-1,1,0.712,0.5585293982837574
0,False,True,-1,-1,1,0.714,0.5600983010879252
0,False,True,-1,-1,1,0.716,0.5616672038920931
0,False,True,-1,-1,1,0.718,0.563236106696261
0,False,True,-1,-1,1,0.72,0.5648050095004288
0,False,True,-1,-1,1,0.722,0.5663739123045967
0,False,True,-1,-1,1,0.724,0.5679428151087645
0,False,True,-1,-1,1,0.726,0.5695117179129324
0,False,True,-1,-1,1,0.728,0.5710806207171003
0,False,True,-1,-1,1,0.73,0.5726495235212681
0,False,True,-1,-1,1,0.732,0.574218426325436
0,False,True,-1,-1,1,0.734,0.5757873291296038
0,False,True,-1,-1,1,0.736,0.5773562319337717
0,False,True,-1,-1,1,0.738,0.5789251347379395
0,False,True,-1,-1,1,0.74,0.5804940375421074
0,False,True,-1,-1,1,0.742,0.5820629403462753
0,False,True,-1,-1,1,0.744,0.5836318431504431
0,False,True,-1,-1,1,0.746,0.585200745954611
0,False,True,-1,-1,1,0.748,0.5867696487587788
0,False,True,-1,-1,1,0.75,0.5883385515629467
0,False,True,-1,-1,1,0.752,0.5899074543671146
0,False,True,-1,-1,1,0.754,0.5914763571712824
0,False,True,-1,-1,1,0.756,0.5930452599754503
0,False,True,-1,-1,1,0.758,0.5946141627796181
0,False,True,-1,-1,1,0.76,0.596183065583786
0,False,True,-1,-1,1,0.762,0.5977519683879539
0,False,True,-1,-1,1,0.764,0.5993208711921217
0,False,True,-1,-1,1,0.766,0.6008897739962896
0,False,True,-1,-1,1,0.768,0.6024586768004574
0,False,True,-1,-1,1,0.77,0.6040275796046253
0,False,True,-1,-1,1,0.772,0.6055964824087932
0,False,True,-1,-1,1,0.774,0.607165385212961
0,False,True,-1,-1,1,0.776,0.6087342880171289
0,False,True,-1,-1,1,0.778,0.6103031908212967
0,False,True,-1,-1,1,0.78,0.6118720936254646
0,False,True,-1,-1,1,0.782,0.6134409964296325
0,False,True,-1,-1,1,0.784,0.6150098992338003
0,False,True,-1,-1,1,0.786,0.6165788020379682
0,False,True,-1,-1,1,0.788,0.618147704842136
0,False,True,-1,-1,1,0.79,0.6197166076463039
0,False,True,-1,-1,1,0.792,0.6212855104504718
0,False,True,-1,-1,1,0.794,0.6228544132546396
0,False,True,-1,-1,1,0.796,0.6244233160588075
0,False,True,-1,-1,1,0.798,0.6259922188629753
0,False,True,-1,-1,1,0.8,0.6275611216671432
0,False,True,-1,-1,1,0.802,0.6291300244713111
0,False,True,-1,-1,1,0.804,0.6306989272754789
0,False,True,-1,-1,1,0.806,0.6322678300796467
0,False,True,-1,-1,1,0.808,0.6338367328838146
0,False,True,-1,-1,1,0.81,0.6354056356879825
0,False,True,-1,-1,1,0.812,0.6369745384921504
0,False,True,-1,-1,1,0.814,0.6385434412963181
0,False,True,-1,-1,1,0.816,0.640112344100486
0,False,True,-1,-1,1,0.818,0.6416812469046538
0,False,True,-1,-1,1,0.82,0.6432501497088217
0,False,True,-1,-1,1,0.822,0.6448190525129895
0,False,True,-1,-1,1,0.824,0.6463879553171574
0,False,True,-1,-1,1,0.826,0.6479568581213253
0,False,True,-1,-1,1,0.828,0.6495257609254931
0,False,True,-1,-1,1,0.83,0.651094663729661
0,False,True,-1,-1,1,0.832,0.6526635665338288
0,False,True,-1,-1,1,0.834,0.6542324693379967
0,False,True,-1,-1,1,0.836,0.6558013721421646
0,False,True,-1,-1,1,0.838,0.6573702749463324
0,False,True,-1,-1,1,0.84,0.6589391777505003
0,False,True,-1,-1,1,0.842,0.6605080805546681
0,False,True,-1,-1,1,0.844,0.662076983358836
0,False,True,-1,-1,1,0.846,0.6636458861630039
0,False,True,-1,-1,1,0.848,0.6652147889671717
0,False,True,-1,-1,1,0.85,0.6667836917713396
0,False,True,-1,-1,1,0.852,0.6683525945755074
0,False,True,-1,-1,1,0.854,0.6699214973796753
0,False,True,-1,-1,1,0.856,0.6714904001838432
0,False,True,-1,-1,1,0.858,0.673059302988011
0,False,True,-1,-1,1,0.86,0.6746282057921789
0,False,True,-1,-1,1,0.862,0.6761971085963467
0,False,True,-1,-1,1,0.864,0.6777660114005146
0,False,True,-1,-1,1,0.866,0.6793349142046825
0,False,True,-1,-1,1,0.868,0.6809038170088503
0,False,True,-1,-1,1,0.87,0.6824727198130182
0,False,True,-1,-1,1,0.872,0.684041622617186
0,False,True,-1,-1,1,0.874,0.6856105254213539
0,False,True,-1,-1,1,0.876,0.6871794282255218
0,False,True,-1,-1,1,0.878,0.6887483310296896
0,False,True,-1,-1,1,0.88,0.6903172338338575
0,False,True,-1,-1,1,0.882,0.6918861366380253
0,False,True,-1,-1,1,0.884,0.6934550394421932
0,False,True,-1,-1,1,0.886,0.695023942246361
0,False,True,-1,-1,1,0.888,0.6965928450505289
0,False,True,-1,-1,1,0.89,0.6981617478546968
0,False,True,-1,-1,1,0.892,0.6997306506588646
0,False,True,-1,-1,1,0.894,0.7012995534630325
0,False,True,-1,-1,1,0.896,0.7028684562672003
0,False,True,-1,-1,1,0.898,0.7044373590713682
0,False,True,-1,-1,1,0.9,0.7060062618755361
0,False,True,-1,-1,1,0.902,0.7075751646797039
0,False,True,-1,-1,1,0.904,0.7091440674838718
0,False,True,-1,-1,1,0.906,0.7107129702880396
0,False,True,-1,-1,1,0.908,0.7122818730922075
0,False,True,-1,-1,1,0.91,0.7138507758963754
0,False,True,-1,-1,1,0.912,0.7154196787005432
0,False,True,-1,-1,1,0.914,0.7169885815047111
0,False,True,-1,-1,1,0.916,0.7185574843088789
0,False,True,-1,-1,1,0.918,0.7201263871130468
0,False,True,-1,-1,1,0.92,0.7216952899172147
0,False,True,-1,-1,1,0.922,0.7232641927213825
0,False,True,-1,-1,1,0.924,0.7248330955255504
0,False,True,-1,-1,1,0.926,0.7264019983297182
0,False,True,-1,-1,1,0.928,0.7279709011338861
0,False,True,-1,-1,1,0.93,0.729539803938054
0,False,True,-1,-1,1,0.932,0.7311087067422218
0,False,True,-1,-1,1,0.934,0.7326776095463897
0,False,True,-1,-1,1,0.936,0.7342465123505575
0,False,True,-1,-1,1,0.938,0.7358154151547253
0,False,True,-1,-1,1,0.94,0.7373843179588931
0,False,True,-1,-1,1,0.942,0.738953220763061
0,False,True,-1,-1,1,0.944,0.7405221235672289
0,False,True,-1,-1,1,0.946,0.7420910263713968
0,False,True,-1,-1,1,0.948,0.7436599291755646
0,False,True,-1,-1,1,0.95,0.7452288319797324
0,False,True,-1,-1,1,0.952,0.7467977347839003
0,False,True,-1,-1,1,0.954,0.7483666375880682
0,False,True,-1,-1,1,0.956,0.7499355403922361
0,False,True,-1,-1,1,0.958,0.7515044431964039
0,False,True,-1,-1,1,0.96,0.7530733460005717
0,False,True,-1,-1,1,0.962,0.7546422488047396
0,False,True,-1,-1,1,0.964,0.7562111516089075
0,False,True,-1,-1,1,0.966,0.7577800544130753
0,False,True,-1,-1,1,0.968,0.7593489572172432
0,False,True,-1,-1,1,0.97,0.760917860021411
0,False,True,-1,-1,1,0.972,0.7624867628255789
0,False,True,-1,-1,1,0.974,0.7640556656297468
0,False,True,-1,-1,1,0.976,0.7656245684339146
0,False,True,-1,-1,1,0.978,0.7671934712380825
0,False,True,-1,-1,1,0.98,0.7687623740422503
0,False,True,-1,-1,1,0.982,0.7703312768464182
0,False,True,-1,-1,1,0.984,0.7719001796505861
0,False,True,-1,-1,1,0.986,0.7734690824547539
0,False,True,-1,-1,1,0.988,0.7750379852589218
0,False,True,-1,-1,1,0.99,0.7766068880630896
0,False,True,-1,-1,1,0.992,0.7781757908672575
0,False,True,-1,-1,1,0.994,0.7797446936714254
0,False,True,-1,-1,1,0.996,0.7813135964755932
0,False,True,-1,-1,1,0.998,0.7828824992797611
0,False,True,-1,-1,1,1.0,0.7844514020839289
0,True,False,500,250,-1,0.0,1.0710269387570744e-26
24,True,False,3000,2000,-1,0.002,0.0007365313563035961
24,True,False,3000,2000,-1,0.004,0.0014730627126071922
24,True,False,3000,2000,-1,0.006,0.0022095940689107886
24,True,False,3000,2000,-1,0.008,0.0029461254252143845
24,True,False,3000,2000,-1,0.01,0.003682656781517981
24,True,False,3000,2000,-1,0.012,0.004419188137821577
24,True,False,3000,2000,-1,0.014,0.005155719494125173
24,True,False,3000,2000,-1,0.016,0.005892250850428769
24,True,False,3000,2000,-1,0.018,0.0066287822067323645
24,True,False,3000,2000,-1,0.02,0.007365313563035962
24,True,False,3000,2000,-1,0.022,0.008101844919339556
24,True,False,3000,2000,-1,0.024,0.008838376275643154
24,True,False,3000,2000,-1,0.026,0.009574907631946749
24,True,False,3000,2000,-1,0.028,0.010311438988250345
24,True,False,3000,2000,-1,0.03,0.011047970344553942
24,True,False,3000,2000,-1,0.032,0.011784501700857538
24,True,False,3000,2000,-1,0.034,0.012521033057161134
24,True,False,3000,2000,-1,0.036,0.013257564413464729
24,True,False,3000,2000,-1,0.038,0.013994095769768325
24,True,False,3000,2000,-1,0.04,0.014730627126071923
24,True,False,3000,2000,-1,0.042,0.01546715848237552
24,True,False,3000,2000,-1,0.044,0.016203689838679113
24,True,False,3000,2000,-1,0.046,0.01694022119498271
24,True,False,3000,2000,-1,0.048,0.01767675255128631
24,True,False,3000,2000,-1,0.05,0.018413283907589905
24,True,False,3000,2000,-1,0.052,0.019149815263893498
24,True,False,3000,2000,-1,0.054,0.019886346620197094
24,True,False,3000,2000,-1,0.056,0.02062287797650069
24,True,False,3000,2000,-1,0.058,0.021359409332804287
